Training Iterations; Lorentz , DerivLorentz , Sigmoid , Tanh , ReLU
11200.0;0.6786173618279474,0.16553209385406656,6.1332355396688725e-06
11300.0;0.6785157217122284,0.1654969134130178,6.008120733958235e-06
11400.0;0.6784140472089474,0.1654620302232826,5.886658305104374e-06
11500.0;0.6783123066426311,0.165427439693694,5.7687077685109995e-06
11600.0;0.6782104691979816,0.16539313735262734,5.654135390096555e-06
11700.0;0.6781085048893057,0.1653591188441865,5.542813801503348e-06
11800.0;0.678006384534788,0.16532537992455518,5.4346216405761605e-06
11900.0;0.6779040797355097,0.16529191645850355,5.329443215251296e-06
12000.0;0.6778015628591386,0.1652587244160424,5.22716818910704e-06
12100.0;0.6776988070282284,0.1652257998692182,5.1276912870093905e-06
12200.0;0.6775957861130888,0.16519313898904078,5.03091201939493e-06
12300.0;0.6774924747291977,0.16516073804253656,4.936734423845238e-06
12400.0;0.6773888482391366,0.16512859338992297,4.845066822734073e-06
12500.0;0.6772848827590489,0.1650967014818957,4.755821595806864e-06
12600.0;0.6771805551696172,0.16506505885702435,4.668914966651386e-06
12700.0;0.6770758431315692,0.1650336621392511,4.584266802098857e-06
12800.0;0.6769707251057191,0.16500250803548716,4.50180042366488e-06
12900.0;0.6768651803775543,0.1649715933333017,4.42144243021227e-06
13000.0;0.6767591890863726,0.16494091489870044,4.343122531078469e-06
13100.0;0.6766527322589658,0.16491046967398673,4.26677338896791e-06
13200.0;0.6765457918478454,0.164880254675704,4.192330471959137e-06
13300.0;0.6764383507739773,0.16485026699265395,4.11973191402396e-06
13400.0;0.6763303929739917,0.16482050378398716,4.048918383517722e-06
13500.0;0.6762219034517982,0.16479096227736284,3.979832959103376e-06
13600.0;0.6761128683345254,0.1647616397671743,3.91242101265197e-06
13700.0;0.6760032749326574,0.1647325336128367,3.846630098662389e-06
13800.0;0.6758931118042173,0.16470364123713446,3.782409849797369e-06
13900.0;0.6757823688228043,0.16467496012462482,3.719711878145137e-06
14000.0;0.6756710372492398,0.16464648782009558,3.6584896818578376e-06
14100.0;0.6755591098065359,0.16461822192707368,3.5986985568356342e-06
14200.0;0.6754465807578363,0.1645901601063821,3.540295513139359e-06
14300.0;0.675333445986924,0.16456230007474276,3.483239195858808e-06
14400.0;0.675219703080821,0.16453463960342327,3.427489810157583e-06
14500.0;0.6751053514139338,0.1645071765169252,3.3730090502489702e-06
14600.0;0.6749903922331262,0.16447990869171006,3.3197600320755535e-06
14700.0;0.6748748287430208,0.16445283405496425,3.2677072294632126e-06
14800.0;0.6747586661907489,0.16442595058339687,3.2168164135634175e-06
14900.0;0.6746419119492856,0.16439925630207158,3.1670545953773645e-06
15000.0;0.674524575598426,0.16437274928326848,3.118389971197287e-06
15100.0;0.6744066690023747,0.1643464276453752,3.0707918707933165e-06
15200.0;0.6742882063828395,0.16432028955180464,3.0242307081948042e-06
15300.0;0.6741692043864546,0.16429433320993772,2.9786779349124287e-06
15400.0;0.6740496821452827,0.16426855687008962,2.934105995479082e-06
15500.0;0.6739296613290973,0.164242958824497,2.890488285166379e-06
15600.0;0.6738091661880967,0.1642175374063249,2.8477991097719622e-06
